code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
588032,Třešť,4704,3015,2999,"9,06","0,13","0,10","7,56","0,10","3,63","8,63","1,10","0,66","1,10","0,03","0,13","9,33","0,00","3,20","25,74","0,36","17,73","0,00","0,46","0,20","0,26","10,03","0,36"
588041,Třeštice,112,90,89,"5,61","0,00","0,00","10,11","0,00","5,61","19,10","3,37","0,00","3,37","0,00","0,00","7,86","0,00","1,12","16,85","1,12","16,85","0,00","1,12","0,00","0,00","7,86","0,00"
588067,Urbanov,107,87,87,"10,34","0,00","0,00","10,34","0,00","8,04","2,29","3,44","2,29","2,29","0,00","0,00","11,49","0,00","6,89","9,19","0,00","27,58","0,00","0,00","1,14","0,00","4,59","0,00"
588075,Ústí,180,117,116,"6,89","0,00","0,00","6,89","0,00","5,17","12,93","0,86","0,00","1,72","0,00","0,86","6,03","0,00","4,31","42,24","0,00","1,72","0,00","4,31","0,00","0,00","6,03","0,00"
588083,Vanov,72,52,52,"11,53","0,00","0,00","9,61","0,00","3,84","11,53","0,00","0,00","0,00","0,00","0,00","15,38","0,00","1,92","23,07","0,00","11,53","0,00","0,00","0,00","1,92","5,76","3,84"
588091,Vanůvek,30,26,25,"20,00","0,00","0,00","8,00","0,00","8,00","12,00","8,00","0,00","8,00","0,00","0,00","8,00","0,00","4,00","8,00","4,00","0,00","0,00","0,00","0,00","0,00","12,00","0,00"
588105,Vápovice,33,22,22,"9,09","0,00","0,00","18,18","0,00","4,54","9,09","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","9,09","0,00","40,90","0,00","0,00","0,00","0,00","9,09","0,00"
588113,Velký Beranov,1060,756,751,"11,71","0,26","0,13","5,45","0,13","3,19","7,05","2,39","1,06","1,99","0,13","0,39","12,51","0,00","5,59","31,15","0,13","7,05","0,00","0,66","0,00","0,39","7,32","1,19"
588121,Větrný Jeníkov,487,333,332,"17,16","0,00","0,00","6,92","0,00","3,01","10,24","1,80","0,60","0,30","0,00","0,60","10,54","0,00","2,71","28,61","0,30","3,91","0,00","0,00","0,30","0,00","12,65","0,30"
588130,Věžnice,132,91,89,"11,23","0,00","0,00","8,98","0,00","5,61","15,73","3,37","0,00","0,00","0,00","0,00","8,98","1,12","1,12","21,34","0,00","10,11","0,00","0,00","0,00","0,00","12,35","0,00"
588148,Věžnička,102,70,69,"4,34","0,00","0,00","7,24","0,00","5,79","2,89","2,89","4,34","2,89","0,00","0,00","23,18","0,00","4,34","21,73","0,00","10,14","0,00","2,89","0,00","0,00","7,24","0,00"
588156,Vílanec,267,173,173,"8,67","0,57","0,00","2,31","0,00","5,20","7,51","0,00","1,15","0,57","0,00","0,00","12,71","0,00","4,04","28,32","0,00","5,20","0,00","2,31","0,57","0,00","20,80","0,00"
588164,Volevčice,52,41,41,"9,75","2,43","0,00","7,31","0,00","12,19","2,43","0,00","2,43","0,00","0,00","0,00","4,87","0,00","0,00","41,46","0,00","4,87","0,00","0,00","0,00","0,00","9,75","2,43"
588172,Vyskytná nad Jihlavou,692,459,456,"10,74","0,00","0,00","7,45","0,00","3,50","7,89","0,87","1,31","2,19","0,00","1,09","12,50","0,00","5,70","32,23","0,00","3,28","0,00","0,00","0,00","0,00","9,86","1,31"
588181,Vysoké Studnice,327,242,242,"6,19","0,00","0,00","7,85","0,00","4,54","8,26","1,23","4,54","4,13","0,41","0,00","12,39","0,41","2,47","27,27","0,82","10,74","0,00","0,00","0,82","0,41","7,43","0,00"
588199,Vystrčenovice,93,61,61,"19,67","0,00","0,00","8,19","0,00","6,55","4,91","1,63","1,63","0,00","0,00","0,00","1,63","0,00","8,19","18,03","0,00","24,59","0,00","0,00","0,00","0,00","4,91","0,00"
588202,Záborná,201,141,140,"6,42","0,00","0,00","6,42","0,00","5,00","13,57","2,85","2,85","0,71","0,00","0,71","6,42","0,71","0,71","20,00","0,00","20,00","0,71","1,42","0,00","0,00","10,71","0,71"
587231,Zadní Vydří,42,27,27,"3,70","3,70","0,00","11,11","0,00","0,00","3,70","0,00","0,00","0,00","0,00","0,00","7,40","0,00","7,40","14,81","0,00","44,44","0,00","3,70","0,00","0,00","0,00","0,00"
588211,Zbilidy,160,131,130,"8,46","0,00","0,00","12,30","0,76","1,53","13,84","0,76","0,76","5,38","1,53","0,00","8,46","0,76","1,53","23,07","0,76","6,15","0,00","2,30","0,00","0,00","11,53","0,00"
588229,Zbinohy,61,39,38,"0,00","5,26","0,00","5,26","0,00","2,63","18,42","0,00","0,00","0,00","0,00","0,00","7,89","0,00","5,26","26,31","0,00","0,00","0,00","0,00","0,00","0,00","28,94","0,00"
588245,Zdeňkov,49,32,32,"0,00","0,00","0,00","0,00","0,00","6,25","25,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","15,62","0,00","40,62","0,00","0,00","0,00","0,00","9,37","3,12"
588253,Zhoř,347,243,242,"6,19","0,00","0,00","6,19","0,41","5,78","7,85","2,06","0,82","2,06","0,00","0,00","14,04","0,00","2,06","23,14","0,41","20,24","0,41","0,41","0,00","0,00","6,19","1,65"
588261,Zvolenovice,74,58,57,"19,29","0,00","0,00","5,26","0,00","10,52","3,50","1,75","0,00","0,00","0,00","0,00","22,80","0,00","3,50","8,77","0,00","19,29","0,00","0,00","0,00","0,00","5,26","0,00"
588270,Žatec,95,65,65,"12,30","0,00","0,00","3,07","0,00","1,53","9,23","0,00","0,00","0,00","0,00","0,00","13,84","0,00","0,00","24,61","0,00","27,69","0,00","0,00","0,00","0,00","6,15","1,53"
588288,Ždírec,371,234,234,"13,67","0,42","0,85","4,70","0,42","1,28","9,40","0,85","1,70","0,85","0,42","0,00","12,39","0,00","2,99","25,21","0,85","9,40","0,42","1,70","0,85","0,85","10,68","0,00"
