code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
587478,Luka nad Jihlavou,2229,1453,1430,"9,30","0,06","0,00","9,72","0,13","1,74","7,41","2,30","1,39","0,97","0,06","0,20","9,23","0,20","3,91","23,42","0,13","13,56","0,00","0,97","0,41","0,13","13,56","1,04"
587486,Malý Beranov,504,355,352,"12,50","0,28","0,28","9,09","0,00","2,27","5,68","1,42","1,13","2,27","0,00","0,00","8,52","0,00","6,81","24,71","0,28","7,67","0,00","1,13","0,56","0,00","14,20","1,13"
587494,Markvartice,165,122,122,"9,01","0,00","0,00","9,01","0,00","1,63","6,55","0,00","1,63","0,00","0,00","0,00","4,91","0,00","1,63","39,34","0,00","13,11","0,81","0,00","1,63","0,00","10,65","0,00"
587508,Měšín,197,132,132,"14,39","0,00","0,00","6,06","0,75","0,75","8,33","1,51","0,75","0,75","0,00","0,00","3,78","0,00","4,54","32,57","0,75","3,78","0,00","5,30","0,00","1,51","14,39","0,00"
587524,Milíčov,113,75,74,"9,45","0,00","0,00","20,27","1,35","4,05","9,45","0,00","1,35","4,05","0,00","0,00","14,86","1,35","0,00","13,51","0,00","10,81","0,00","0,00","1,35","0,00","8,10","0,00"
587532,Mirošov,148,87,84,"7,14","0,00","0,00","4,76","0,00","3,57","17,85","1,19","0,00","7,14","0,00","0,00","10,71","0,00","1,19","20,23","0,00","10,71","0,00","0,00","0,00","0,00","15,47","0,00"
587541,Mrákotín,726,423,420,"7,14","0,00","0,71","5,47","0,00","3,33","11,90","0,47","0,95","0,23","0,47","0,00","8,33","0,00","2,61","31,66","0,00","14,04","0,00","0,23","0,23","0,47","11,19","0,47"
587559,Mysletice,104,72,71,"5,63","2,81","0,00","1,40","0,00","4,22","18,30","1,40","1,40","0,00","0,00","1,40","16,90","0,00","5,63","16,90","0,00","9,85","0,00","1,40","0,00","1,40","11,26","0,00"
587567,Mysliboř,160,99,99,"8,08","0,00","0,00","5,05","1,01","9,09","12,12","1,01","4,04","1,01","0,00","0,00","9,09","0,00","3,03","12,12","0,00","28,28","0,00","0,00","0,00","0,00","6,06","0,00"
587575,Nadějov,152,105,105,"1,90","0,00","0,00","8,57","0,00","0,00","7,61","0,00","0,95","0,95","0,00","0,00","6,66","0,95","0,00","37,14","0,00","26,66","0,00","0,00","0,00","0,95","5,71","1,90"
587583,Nevcehle,187,104,103,"8,73","0,00","0,00","12,62","0,00","8,73","8,73","2,91","0,97","0,00","0,00","0,00","7,76","0,00","0,97","23,30","0,00","10,67","0,00","0,97","0,00","0,00","13,59","0,00"
587591,Nová Říše,676,455,454,"6,38","0,00","0,22","7,70","0,00","5,72","9,25","0,44","2,42","0,88","0,00","0,00","14,53","0,00","1,76","19,82","0,22","17,62","0,00","0,44","0,22","0,00","12,11","0,22"
587613,Olšany,54,38,38,"21,05","0,00","0,00","0,00","0,00","0,00","5,26","2,63","0,00","0,00","0,00","0,00","2,63","0,00","2,63","10,52","2,63","50,00","0,00","0,00","0,00","0,00","2,63","0,00"
587214,Olší,56,46,46,"4,34","0,00","0,00","17,39","0,00","4,34","0,00","0,00","0,00","2,17","0,00","0,00","36,95","0,00","4,34","8,69","0,00","13,04","0,00","0,00","0,00","4,34","4,34","0,00"
587621,Opatov,170,112,112,"11,60","0,00","0,00","10,71","0,00","8,03","6,25","1,78","3,57","1,78","0,00","0,89","15,17","0,00","1,78","16,96","0,89","10,71","0,00","0,89","0,00","0,00","8,92","0,00"
587630,Ořechov,58,39,39,"2,56","0,00","0,00","15,38","0,00","7,69","5,12","0,00","0,00","0,00","0,00","0,00","20,51","0,00","2,56","23,07","0,00","10,25","0,00","0,00","0,00","2,56","10,25","0,00"
587648,Otín,73,48,48,"0,00","0,00","0,00","8,33","6,25","8,33","10,41","0,00","0,00","6,25","0,00","0,00","6,25","2,08","0,00","12,50","0,00","12,50","0,00","0,00","0,00","0,00","22,91","4,16"
587656,Panenská Rozsíčka,111,84,84,"15,47","0,00","0,00","8,33","0,00","3,57","2,38","3,57","1,19","0,00","0,00","0,00","3,57","0,00","4,76","22,61","0,00","19,04","0,00","0,00","0,00","0,00","11,90","3,57"
587672,Panské Dubenky,99,64,64,"0,00","0,00","0,00","18,75","0,00","4,68","25,00","1,56","1,56","0,00","0,00","0,00","4,68","0,00","3,12","21,87","0,00","1,56","0,00","3,12","0,00","0,00","14,06","0,00"
587681,Pavlov,356,224,223,"14,79","0,00","0,44","13,00","0,00","2,24","11,21","1,34","0,00","1,34","0,00","0,00","5,82","0,00","3,58","22,42","0,00","8,96","0,00","0,89","0,44","0,00","13,00","0,44"
